date,price,volume,change_rate
2023-06-03,27072.0,558224640.0,-0.63
2023-06-02,27244.7,1345070839.0,1.59
2023-06-01,26819.0,1394051620.0,-1.46
2023-05-31,27216.1,1716791588.0,-1.74
2023-05-30,27698.2,1251681658.0,-0.15
2023-05-29,27739.4,1513461664.0,-1.18
2023-05-28,28071.2,1550372376.0,4.52
2023-05-27,26857.5,501698100.0,0.55
2023-05-26,26711.5,1225523620.0,0.89
2023-05-25,26475.8,1328290886.0,0.56
2023-05-24,26328.4,1912758260.0,-3.28
2023-05-23,27220.7,1385261423.0,1.39
2023-05-22,26847.3,954689988.0,0.36
2023-05-21,26749.9,733482258.0,-1.35
2023-05-20,27116.2,480499064.0,0.87
2023-05-19,26882.9,985795943.0,0.2
2023-05-18,26828.0,1700626920.0,-2.1
2023-05-17,27403.1,1593216234.0,1.36
2023-05-16,27035.3,1224428737.0,-0.55
2023-05-15,27183.9,1448086353.0,0.98
2023-05-14,26920.0,709342000.0,0.53
2023-05-13,26777.5,748431125.0,-0.08
2023-05-12,26799.2,2344662008.0,-0.68
2023-05-11,26983.5,1695912975.0,-2.25
2023-05-10,27603.3,2524321785.0,-0.11
2023-05-09,27634.9,1374836275.0,-0.13
2023-05-08,27670.5,2371915260.0,-2.65
2023-05-07,28424.8,1037505200.0,-1.5
2023-05-06,28857.1,1700837474.0,-2.22
2023-05-05,29513.2,2199323664.0,2.33
2023-05-04,28842.1,1551704980.0,-0.63
2023-05-03,29023.6,2357296792.0,1.24
2023-05-02,28669.1,1872952303.0,2.11
2023-05-01,28077.6,2368626336.0,-4.02
2023-04-30,29252.1,1392985002.0,0.06
2023-04-29,29234.1,751901052.0,-0.3
